Internal ID,Name,Internal ID,Display Name,SubType,Type,Class,D&H Item Name,Purchase Price,Purchase Description,Description
388251,LIC-ENT-5YR,37904,,For Resale,Non-inventory Item,Software,,,,Cisco Meraki Enterprise Cloud Controller Subscription license (5 years) - 1 access point - hosted
388251,MR56-HW,85410,,,Inventory Item,Hardware – Networking,,,,"Cisco Meraki MR56 Wireless access point - Wi-Fi 6 - 2.4 GHz, 5 GHz - DC power - cloud-managed"
371943,F9W-00159,270520,,For Resale,Non-inventory Item,Hardware - Support and Warranty,,,,"Microsoft Complete for Business Plus Extended service agreement - replacement - 3 years (from original purchase date of the equipment) - response time: NBD - for Surface Pro 7+, Pro X"
371943,8XB-00001,270521,,,Inventory Item,Hardware – Peripherals,8XB00001,,,"Microsoft Surface Pro Signature Keyboard Keyboard - with touchpad, accelerometer, Surface Slim Pen 2 storage and charging tray - QWERTY - English - black - commercial - for Surface Pro 8, Pro X"
371943,4999-829-289,270522,,,Inventory Item,Hardware – Peripherals,,,,Jabra Evolve 20 UC stereo Headset - on-ear - wired - USB-C - noise isolating
371943,4X41C12468,270523,,,Inventory Item,Hardware – Peripherals,,,,"Lenovo ThinkPad Essential (Eco) Notebook carrying backpack - 16"" - black with red accents - for Slim 7 Carbon 13; ThinkPad L13 Yoga Gen 3; T14s Gen 3; X1 Nano Gen 2; X13 Gen 3; Z13 Gen 1"
464264,981-000510,271020,,,Inventory Item,Hardware – Peripherals,981000510CDN,,,Logitech USB Headset H540 Headset - on-ear - wired - USB
443441,21CB00BVUS,285325,,,Inventory Item,Hardware - End Point,21CB00BVUS,,,"Lenovo ThinkPad X1 Carbon Gen 10 21CB 180-degree hinge design - Intel Core i7 1270P / 2.2 GHz - vPro Enterprise - Win 10 Pro 64-bit (includes Win 11 Pro License) - Iris Xe Graphics - 32 GB RAM - 512 GB SSD TCG Opal Encryption 2, NVMe - 14"" IPS touchscreen 1920 x 1200 - Wi-Fi 6E - deep black p"
443441,AIC-00001,359630,,,Inventory Item,Hardware - End Point,AIC00001,,,"Microsoft Surface Laptop Studio Slider - Intel Core i7 11370H - Win 11 Pro - RTX A2000 - 32 GB RAM - 1 TB SSD - 14.4"" touchscreen 2400 x 1600 @ 120 Hz - Wi-Fi 6 - platinum - kbd: English - commercial"
443441,F9W-00226,359631,,For Resale,Non-inventory Item,Hardware - Support and Warranty,F9W00226,,,Microsoft Complete for Business Plus Extended service agreement - replacement - 3 years (from original purchase date of the equipment) - response time: NBD - for Surface Laptop Studio
447959,KCP548SS8-16,359633,,,Inventory Item,Hardware – Peripherals,,,,"Kingston DDR5 - module - 16 GB - SO-DIMM 262-pin - 4800 MHz / PC5-38400 - CL40 - 1.1 V - unbuffered - non-ECC - for Dell Inspiron 14, 16; Precision 34XX, 7770; Vostro 7620; Lenovo ThinkPad P15v Gen 3"
447959,21D6007MUS,362932,,,Inventory Item,Hardware - End Point,,,,"Lenovo ThinkPad P16 G1 21D6007MUS 16"" Mobile Workstation - WUXGA - 1920 x 1200 - Intel Core i9 12th Gen i9-12900HX Hexadeca-core (16 Core) 2.30 GHz - 16 GB Total RAM - 512 GB SSD - Storm Gray - Intel WM690 Chip - Windows 11 Pro - NVIDIA RTX A2000 with 8 GB - In-plane Switching (IPS) Technology - English Keyboard - IEEE 802.11ax Wireless LAN Standard "
447959,61F2GAR2US,362933,,,Inventory Item,Hardware – Peripherals,,,,"Lenovo ThinkVision T32p-20 LED monitor - 31.5"" - 3840 x 2160 4K - IPS - 350 cd/m² - 1000:1 - 4 ms - HDMI, DisplayPort, USB-C - raven black"
447959,F9A29D#B1K,362934,,,Inventory Item,Hardware – Peripherals,,,,"HP DesignJet T730 36"" large-format printer - color - ink-jet - Roll (91.4 cm x 45.7 m) - 2400 x 1200 dpi - up to 0.42 min/page (mono) / up to 0.42 min/page (color) - Gigabit LAN, Wi-Fi(n), USB 2.0 host - cutter"
464264,SUPER7B,363232,,,Inventory Item,Hardware – Peripherals,SUPER7BCA,,,Tripp Lite Surge Protector Power Strip 120V 7 Outlet 7' Cord 2160 Joules Black Surge protector - 15 A - AC 120 V - 1.8 kW - output connectors: 7 - black
464264,CA-2014RB,363233,,,Inventory Item,Hardware – Peripherals,CA2014RB,,,Cyber Acoustics CA-2014rb Speakers - for PC - 4 Watt (total) - black
