Internal ID,Internal ID,Legal Name,Name,PO Num,PO Name,PO #,SO Id,SO Num,SO Name,SO #,Date,Item,Quantity,Item Rate,Item Name,Item DisplayName,Item-Price,Item-PurcDesc,Item-Description
659892,659892,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6854,Purchase Order #POQ6854,PURCHORD11977,659891,SOQ7224,Sales Order #SOQ7224,SALESORD10694,2023-04-26,910-005790,1,38.49,910-005790,,,Logitech Gaming Mouse G203 LIGHTSYNC Mouse - optical - 6 buttons - wired - USB - black,
659892,659892,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6854,Purchase Order #POQ6854,PURCHORD11977,659891,SOQ7224,Sales Order #SOQ7224,SALESORD10694,2023-04-26,30BA00KNCA,1,3492.17,30BA00KNCA,,,Lenovo ThinkStation P720 30BA Tower - 2 x Xeon Silver 4208 / 2.1 GHz - RAM 32 GB - SSD 1.024 TB - TCG Opal Encryption - GigE - Win 11 Pro for Workstations - monitor: none - keyboard: French - with 3 Years Lenovo Premier Support,
659892,659892,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6854,Purchase Order #POQ6854,PURCHORD11977,659891,SOQ7224,Sales Order #SOQ7224,SALESORD10694,2023-04-26,LDH-00005,1,1466.83,LDH-00005,,,"Microsoft Surface Laptop 4 Intel Core i5 1145G7 - Win 11 Pro - Iris Xe Graphics - 8 GB RAM - 256 GB SSD - 13.5"" touchscreen 2256 x 1504 - Wi-Fi 6 - platinum - commercial",
659885,659885,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6853,Purchase Order #POQ6853,PURCHORD11976,659882,SOQ7223,Sales Order #SOQ7223,SALESORD10693,2023-04-24,9X8-00001,1,1144.12,9X8-00001,,,"Microsoft Surface Laptop Studio Slider - Intel Core i5 11300H - Win 11 Home - Iris Xe Graphics - 16 GB RAM - 512 GB SSD - 14.4"" touchscreen 2400 x 1600 @ 120 Hz - Wi-Fi 6 - platinum - refurbished",
659885,659885,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6853,Purchase Order #POQ6853,PURCHORD11976,659882,SOQ7223,Sales Order #SOQ7223,SALESORD10693,2023-04-24,U420F-30M-D3,1,187.95,U420F-30M-D3,,,"Tripp Lite USB-C AOC Cable (M/M) USB 3.2 Gen 2 (10 Gbps) Plenum-Rated Fiber Active Optical Cable - Data Only, Black, 30 m - USB cable - 24 pin USB-C (M) to 24 pin USB-C (M) - USB 3.2 Gen2 - 30 m - Active Optical Cable (AOC) - black, light gray",
659883,659883,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6852,Purchase Order #POQ6852,PURCHORD11975,659880,SOQ7222,Sales Order #SOQ7222,SALESORD10692,2023-04-24,U420F-30M-D3,2,187.95,U420F-30M-D3,,,"Tripp Lite USB-C AOC Cable (M/M) USB 3.2 Gen 2 (10 Gbps) Plenum-Rated Fiber Active Optical Cable - Data Only, Black, 30 m - USB cable - 24 pin USB-C (M) to 24 pin USB-C (M) - USB 3.2 Gen2 - 30 m - Active Optical Cable (AOC) - black, light gray",
659883,659883,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6852,Purchase Order #POQ6852,PURCHORD11975,659880,SOQ7222,Sales Order #SOQ7222,SALESORD10692,2023-04-24,5W8-00005,3,823.34,5W8-00005,,,"Microsoft Surface Laptop 4 AMD Ryzen 7 4980U / 2 GHz - Windows 10 Home - Radeon Graphics - 8 GB RAM - 512 GB SSD - 15"" touchscreen 2496 x 1664 - Wi-Fi 6 - matte black - refurbished",
659883,659883,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6852,Purchase Order #POQ6852,PURCHORD11975,659880,SOQ7222,Sales Order #SOQ7222,SALESORD10692,2023-04-24,30BA00KNCA,3,3492.17,30BA00KNCA,,,Lenovo ThinkStation P720 30BA Tower - 2 x Xeon Silver 4208 / 2.1 GHz - RAM 32 GB - SSD 1.024 TB - TCG Opal Encryption - GigE - Win 11 Pro for Workstations - monitor: none - keyboard: French - with 3 Years Lenovo Premier Support,
659874,659874,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6851,Purchase Order #POQ6851,PURCHORD11974,659873,SOQ7220,Sales Order #SOQ7220,SALESORD10690,2023-04-21,910-005790,5,38.49,910-005790,,,Logitech Gaming Mouse G203 LIGHTSYNC Mouse - optical - 6 buttons - wired - USB - black,
659874,659874,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6851,Purchase Order #POQ6851,PURCHORD11974,659873,SOQ7220,Sales Order #SOQ7220,SALESORD10690,2023-04-21,LDH-00006,1,1466.83,LDH-00006,,,"Microsoft Surface Laptop 4 Intel Core i5 1145G7 - Win 11 Pro - Iris Xe Graphics - 8 GB RAM - 256 GB SSD - 13.5"" touchscreen 2256 x 1504 - Wi-Fi 6 - platinum - commercial",
659874,659874,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6851,Purchase Order #POQ6851,PURCHORD11974,659873,SOQ7220,Sales Order #SOQ7220,SALESORD10690,2023-04-21,U420F-10M-D3,1,135.09,U420F-10M-D3,,,"Tripp Lite USB-C AOC Cable (M/M) USB 3.2 Gen 2 (10 Gbps) Plenum-Rated Fiber Active Optical Cable - Data Only, Black, 10 m - USB cable - 24 pin USB-C (M) to 24 pin USB-C (M) - USB 3.2 Gen2 - 10 m - plenum, Active Optical Cable (AOC) - black",
659867,659867,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6850,Purchase Order #POQ6850,PURCHORD11973,659866,SOQ7219,Sales Order #SOQ7219,SALESORD10689,2023-04-20,910-005790,10,38.49,910-005790,,,Logitech Gaming Mouse G203 LIGHTSYNC Mouse - optical - 6 buttons - wired - USB - black,
659543,659543,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6845,Purchase Order #POQ6845,PURCHORD11968,659328,SOQ7213,Sales Order #SOQ7213,SALESORD10682,2023-04-12,FG-60F-BDL-950-36,1,2076.66,FG-60F-BDL-950-36,,,Fortinet FortiGate 60F Security appliance - with 3 years 24x7 FortiCare and FortiGuard Unified (UTM) Protection - 10 GigE - desktop,
659543,659543,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6845,Purchase Order #POQ6845,PURCHORD11968,659328,SOQ7213,Sales Order #SOQ7213,SALESORD10682,2023-04-12,FTM-ELIC-10,2,412.65,FTM-ELIC-10,,,"FortiToken Mobile License - 10 users - ESD - Android, iOS",
659543,659543,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6845,Purchase Order #POQ6845,PURCHORD11968,659328,SOQ7213,Sales Order #SOQ7213,SALESORD10682,2023-04-12,FS-124E,1,492.04,FS-124E,,,Fortinet FortiSwitch 124E Switch - 24 x 10/100/1000 + 4 x Gigabit SFP - rack-mountable,
659542,659542,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6844,Purchase Order #POQ6844,PURCHORD11967,659223,SOQ7211,Sales Order #SOQ7211,SALESORD10680,2023-04-12,FG-60F-BDL-950-36,1,2076.66,FG-60F-BDL-950-36,,,Fortinet FortiGate 60F Security appliance - with 3 years 24x7 FortiCare and FortiGuard Unified (UTM) Protection - 10 GigE - desktop,
659542,659542,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6844,Purchase Order #POQ6844,PURCHORD11967,659223,SOQ7211,Sales Order #SOQ7211,SALESORD10680,2023-04-12,FAP-231F-A,2,602.66,FAP-231F-A,,,"Fortinet FortiAP 231F Wireless access point - GigE, 802.11ax - Wi-Fi - 2.4 GHz, 5 GHz",
659542,659542,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6844,Purchase Order #POQ6844,PURCHORD11967,659223,SOQ7211,Sales Order #SOQ7211,SALESORD10680,2023-04-12,FS-148E,1,963.72,FS-148E,,,Fortinet FortiSwitch 148E Switch - managed - 48 x 10/100/1000 + 4 x Gigabit SFP - rack-mountable,
659542,659542,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6844,Purchase Order #POQ6844,PURCHORD11967,659223,SOQ7211,Sales Order #SOQ7211,SALESORD10680,2023-04-12,FC-10-F231F-247-02-36,2,186.76,FC-10-F231F-247-02-36,,,FORTIAP-231FL 3 YEAR FORTICARE PREMIUM SUPPORT ,
659542,659542,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6844,Purchase Order #POQ6844,PURCHORD11967,659223,SOQ7211,Sales Order #SOQ7211,SALESORD10680,2023-04-12,FTM-ELIC-10,2,412.65,FTM-ELIC-10,,,"FortiToken Mobile License - 10 users - ESD - Android, iOS",
659542,659542,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6844,Purchase Order #POQ6844,PURCHORD11967,659223,SOQ7211,Sales Order #SOQ7211,SALESORD10680,2023-04-12,GPI-130,2,134.96,GPI-130,,,Fortinet GPI-130 PoE injector - AC 100-240 V - 30 Watt - output connectors: 1,
658572,658572,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6821,Purchase Order #POQ6821,PURCHORD11934,658519,SOQ7198,Sales Order #SOQ7198,SALESORD10657,2023-04-12,006R04364,1,228.80,006R04364,,,"Xerox High Capacity - black - original - toner cartridge - for Xerox C310/DNI, C310/DNIM, C310V_DNI, C315/DNI, C315V_DNI, C315V_DNIUK",
658572,658572,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6821,Purchase Order #POQ6821,PURCHORD11934,658519,SOQ7198,Sales Order #SOQ7198,SALESORD10657,2023-04-12,006R04391,2,119.86,006R04391,,,"Xerox High Capacity - black - original - toner cartridge - for Xerox C230, C230/DNI, C230V_DNIUK, C235, C235/DNI, C235V_DNIUK",
658531,658531,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6819,Purchase Order #POQ6819,PURCHORD11932,658507,SOQ7196,Sales Order #SOQ7196,SALESORD10655,2023-04-12,21ED0045US,5,1107.97,21ED0045US,,,"Lenovo ThinkPad E15 Gen 4 21ED AMD Ryzen 7 5825U / 2 GHz - Win 10 Pro 64-bit (includes Win 11 Pro License) - Radeon Graphics - 16 GB RAM - 256 GB SSD TCG Opal Encryption 2, NVMe - 15.6"" IPS 1920 x 1080 (Full HD) - Wi-Fi 6 - mineral metallic - kbd: English",
658531,658531,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6819,Purchase Order #POQ6819,PURCHORD11932,658507,SOQ7196,Sales Order #SOQ7196,SALESORD10655,2023-04-12,21ED0045US,3,1127.71,21ED0045US,,,"Lenovo ThinkPad E15 Gen 4 21ED AMD Ryzen 7 5825U / 2 GHz - Win 10 Pro 64-bit (includes Win 11 Pro License) - Radeon Graphics - 16 GB RAM - 256 GB SSD TCG Opal Encryption 2, NVMe - 15.6"" IPS 1920 x 1080 (Full HD) - Wi-Fi 6 - mineral metallic - kbd: English",
658531,658531,TD Synnex Corporation,TD Synnex Corporation [CA],POQ6819,Purchase Order #POQ6819,PURCHORD11932,658507,SOQ7196,Sales Order #SOQ7196,SALESORD10655,2023-04-12,K33480NA,6,190.57,K33480NA,,,"Kensington SD4839P Docking station - USB-C 3.2 Gen 2 - HDMI, 2 x DP++ - GigE - 135 Watt",
