Name,Display Name,SubType,Description,Purchase Description,Vendor Name,Store Display Name,Store Description,Display in Web Site,Purchase Price,Preferred Vendor,Base Price,Income Account,Asset Account,Expense/COGS Account,Costing Method,On Special,Tax Schedule,On Hand,Available,On Order,Committed,Back Ordered,Reorder Point,Preferred Stock Level,Reorder Multiple,Drop Ship Item,Special Order Item,Copy SO Descr.,Weight,Weight Units,Class,Department,Date Created,Last Modified
1G1X8AV,,For Resale,HPI Elitebook 850 G8 Notebook,HPI Elitebook 850 G8 Notebook,,,,No,,,,Sales,,Miscellaneous Expense,N/A,No,Hardware,,,,,,,,,No,No,No,,,,,4/25/2023 10:18 pm,4/25/2023 10:18 pm
1G2D0AV,,For Resale,	Integrated HD 720p DM Webcam,Integrated HD 720p DM Webcam,,,,No,,,,Sales,,Miscellaneous Expense,N/A,No,Hardware,,,,,,,,,No,No,No,,,,,4/25/2023 10:20 pm,4/25/2023 10:20 pm
1G2L2AV,,For Resale,HPI FreeDOS,HPI FreeDOS,,,,No,,,,Sales,,Miscellaneous Expense,N/A,No,Hardware,,,,,,,,,No,No,No,,,,,4/25/2023 10:18 pm,4/25/2023 10:18 pm
228-04778,,For Resale,"Microsoft SQL Server Standard Edition - License & Software Assurance - 1 Server - 3 Year Acquired Year 1, Additional Product - Microsoft Open Value - PC","Microsoft SQL Server Standard Edition - License & Software Assurance - 1 Server - 3 Year Acquired Year 1, Additional Product - Microsoft Open Value - PC",,,,No,,,,Sales,,Miscellaneous Expense,N/A,No,Hardware,,,,,,,,,No,No,No,,,,,4/25/2023 10:22 pm,4/25/2023 10:22 pm
359-01469,,For Resale,"	Microsoft SQL Server - License & Software Assurance - 1 User CAL - 3 Year Acquired Year 1, Additional Product - Microsoft Open Value - PC","Microsoft SQL Server - License & Software Assurance - 1 User CAL - 3 Year Acquired Year 1, Additional Product - Microsoft Open Value - PC",,,,No,,,,Sales,,Miscellaneous Expense,N/A,No,Hardware,,,,,,,,,No,No,No,,,,,4/25/2023 10:22 pm,4/25/2023 10:22 pm
4999-829-289,,,Jabra Evolve 20 UC stereo Headset - on-ear - wired - USB-C - noise isolating,Jabra Evolve 20 UC stereo Headset - on-ear - wired - USB-C - noise isolating,,,,No,,,,Sales,Inventory,Purchases,Average,No,Hardware,,,,,,,,,No,No,No,,,,,4/26/2023 11:01 pm,4/26/2023 11:01 pm
4SS11AV#ABA,,For Resale,	HPI CTO OS LOCALIZATION,HPI CTO OS LOCALIZATION,,,,No,,,,Sales,,Miscellaneous Expense,N/A,No,Hardware,,,,,,,,,No,No,No,,,,,4/25/2023 10:19 pm,4/25/2023 10:19 pm
4X41C12468,,,"Lenovo ThinkPad Essential (Eco) Notebook carrying backpack - 16"" - black with red accents - for Slim 7 Carbon 13; ThinkPad L13 Yoga Gen 3; T14s Gen 3; X1 Nano Gen 2; X13 Gen 3; Z13 Gen 1","Lenovo ThinkPad Essential (Eco) Notebook carrying backpack - 16"" - black with red accents - for Slim 7 Carbon 13; ThinkPad L13 Yoga Gen 3; T14s Gen 3; X1 Nano Gen 2; X13 Gen 3; Z13 Gen 1",,,,No,,,,Sales,Inventory,Purchases,Average,No,Hardware,,,,,,,,,No,No,No,,,,,4/26/2023 11:01 pm,4/26/2023 11:01 pm
8XB-00001,,,"Microsoft Surface Pro Signature Keyboard Keyboard - with touchpad, accelerometer, Surface Slim Pen 2 storage and charging tray - QWERTY - English - black - commercial - for Surface Pro 8, Pro X","Microsoft Surface Pro Signature Keyboard Keyboard - with touchpad, accelerometer, Surface Slim Pen 2 storage and charging tray - QWERTY - English - black - commercial - for Surface Pro 8, Pro X",,,,No,,,,Sales,Inventory,Purchases,Average,No,Hardware,,,,,,,,,No,No,No,,,,,4/26/2023 11:00 pm,4/26/2023 11:03 pm
920-008671,,,Logitech MK540 Advanced Keyboard and mouse set - wireless - 2.4 GHz,Logitech MK540 Advanced Keyboard and mouse set - wireless - 2.4 GHz,,,,No,,,,Sales,Inventory,Purchases,Average,No,Hardware,,,,,,,,,No,No,No,,,,,4/26/2023 11:18 pm,5/11/2023 7:04 pm
960-001401,,,"Logitech C920e Webcam - color - 720p, 1080p - audio - USB 2.0 - TAA Compliant","Logitech C920e Webcam - color - 720p, 1080p - audio - USB 2.0 - TAA Compliant",,,,No,,,,Sales,Inventory,Purchases,Average,No,Hardware,,,,,,,,,No,No,No,,,,,4/26/2023 11:18 pm,5/11/2023 7:04 pm
