Internal ID,PO Id,Vendor,PO #,SO Id,SO #,Item,Qty,Rate,Item Name,Item Disp name,Purch Price,Description
1448110,1448110,D&H Distributing,332581,1384418,SO91863,XG27UQR,4,648.12,XG27UQR,"ASUS ROG Strix 27"" Monitor",,"ASUS ROG Strix 27"" Monitor"
1448110,1448110,D&H Distributing,332581,1384418,SO91863,XG27UQR,1,648.12,XG27UQR,"ASUS ROG Strix 27"" Monitor",,"ASUS ROG Strix 27"" Monitor"
1216932,1216932,D&H Distributing,328536,1208342,SO86870,939-001802,2,486.26,939-001802,Logitech 25M Strong USB Cable,,Logitech 25M Strong USB Cable
1216932,1216932,D&H Distributing,328536,1208342,SO86870,939-001802,1,486.26,939-001802,Logitech 25M Strong USB Cable,,Logitech 25M Strong USB Cable
1216932,1216932,D&H Distributing,328536,1208342,SO86870,960-001308,2,3189.29,960-001308,Logitech Rally Bar-Graphite,,Logitech Rally Bar-Graphite
1216932,1216932,D&H Distributing,328536,1208342,SO86870,952-000009,1,810.97,952-000009,Logitech Swytch,,Logitech Swytch
1216932,1216932,D&H Distributing,328536,1208342,SO86870,TAPMSTBASEINT,1,1802.96,TAPMSTBASEINT,Logitech Jumpstart Base Bundle,,Logitech Jumpstart Base Bundle
1216932,1216932,D&H Distributing,328536,1208342,SO86870,952-000044,2,65.20,952-000044,Logitech Wall Mount for Video Bars,,Logitech Wall Mount for Video Bars
513883,513883,D&H Distributing,314760,512933,SO59441,VA2446MH-LED,2,166.14,VA2446MH-LED,"Viw Viewsonic 24"" Hd Monitor",,"Viw Viewsonic 24"" Hd Monitor"
513883,513883,D&H Distributing,314760,,,VA2446MH-LED,1,166.14,VA2446MH-LED,"Viw Viewsonic 24"" Hd Monitor",,"Viw Viewsonic 24"" Hd Monitor"
