Internal ID,Internal ID,Legal Name,Name,PO Num,PO Name,PO #,SO Id,SO Num,SO Name,SO #,Date,Item,Quantity,Item Rate,Item Name,Item DisplayName,Item-Price,Item-PurcDesc,Item-Description
659546,659546,Ingram Micro Inc.,Ingram Micro Inc. [CA],POQ6848,Purchase Order #POQ6848,PURCHORD11971,659432,SOQ7214,Sales Order #SOQ7214,SALESORD10683,2023-04-12,6GW62F#BGJ,1,169.05,6GW62F#BGJ,,,"HP LaserJet M209dw Printer - B/W - Duplex - laser - A4/Legal - 600 x 600 dpi - up to 30 ppm - capacity: 150 sheets - USB 2.0, LAN, Wi-Fi(n), Bluetooth LE",
659209,659209,Ingram Micro Inc.,Ingram Micro Inc. [CA],POQ6840,Purchase Order #POQ6840,PURCHORD11961,659205,SOQ7209,Sales Order #SOQ7209,SALESORD10677,2023-04-12,11U6S15000,9,974.62,11U6S15000,,,"Lenovo M90q Tiny System with Core i5-12600T CPU, 8GB Ram, 256GB SSD NVMe Opal 2.0, Rear Com2 cable/serial port, Integrated Graphics card with DP, HDMI and VGA inputs, USB Keyboard and Mouse, Integrated  Gigabit NIC, Microsoft Windows 11 Professional 64 bit operating system with downgrade rights for Windows 10. Lenovo direct 3 year premier support on-site warranty.",
659326,659326,Ingram Micro Inc.,Ingram Micro Inc. [CA],POQ6842,Purchase Order #POQ6842,PURCHORD11965,659093,SOQ7207,Sales Order #SOQ7207,SALESORD10674,2023-04-12,21E6007GUS,2,1151.36,21E6007GUS,,,"Lenovo ThinkPad E15 Gen 4 21E6 Intel Core i7 1255U / 1.7 GHz - Win 11 Pro - Iris Xe Graphics - 16 GB RAM - 512 GB SSD TCG Opal Encryption 2, NVMe - 15.6"" IPS 1920 x 1080 (Full HD) - Wi-Fi 6E - mineral metallic - kbd: English",
659326,659326,Ingram Micro Inc.,Ingram Micro Inc. [CA],POQ6842,Purchase Order #POQ6842,PURCHORD11965,659093,SOQ7207,Sales Order #SOQ7207,SALESORD10674,2023-04-12,5WS0A23681,2,100.26,5WS0A23681,,,Lenovo Onsite Upgrade Extended service agreement - parts and labor (for system with 1 year depot or carry-in warranty) - 3 years (from original purchase date of the equipment) - on-site - for ThinkBook 13x G2 IAP; 14 G4+ IAP; 14s Yoga G2 IAP; ThinkPad E14 Gen 4; E15 Gen 4,
659204,659204,Ingram Micro Inc.,Ingram Micro Inc. [CA],POQ6838,Purchase Order #POQ6838,PURCHORD11959,659062,SOQ7203,Sales Order #SOQ7203,SALESORD10667,2023-04-12,2Z600F#BGJ,6,317.74,2Z600F#BGJ,,,"HP LaserJet Pro 4001dn Printer - B/W - Duplex - laser - A4/Letter - 4800 x 600 dpi - up to 42 ppm - capacity: 350 sheets - USB 2.0, LAN",
659216,659216,Ingram Micro Inc.,Ingram Micro Inc. [CA],POQ6841,Purchase Order #POQ6841,PURCHORD11962,659042,SOQ7202,Sales Order #SOQ7202,SALESORD10665,2023-04-12,4X30M39458,20,54.37,4X30M39458,,,Lenovo Essential Wireless Combo Keyboard and mouse set - wireless - 2.4 GHz - US - for IdeaPad S340-14; ThinkCentre M80s Gen 3; M90a Gen 3; M90a Pro Gen 3; M90t Gen 3; V15 IML,
659102,659102,Ingram Micro Inc.,Ingram Micro Inc. [CA],POQ6837,Purchase Order #POQ6837,PURCHORD11958,659027,SOQ7201,Sales Order #SOQ7201,SALESORD10664,2023-04-12,RH00005,1,409.05,RH00005,,,Red Hat Enterprise Linux Server Entry Level Self-support subscription (1 year) - 1 socket pair,
659102,659102,Ingram Micro Inc.,Ingram Micro Inc. [CA],POQ6837,Purchase Order #POQ6837,PURCHORD11958,659027,SOQ7201,Sales Order #SOQ7201,SALESORD10664,2023-04-12,RH0986300,1,209.35,RH0986300,,,Red Hat Enterprise Linux Workstation Self-support subscription (1 year) - 1 system,
658500,658500,Ingram Micro Inc.,Ingram Micro Inc. [CA],POQ5698-,Purchase Order #POQ5698-,PURCHORD11924,656444,SOQ7192,Sales Order #SOQ7192,SALESORD10649,2023-04-11,DELL-C2423H,2,295.00,DELL-C2423H,,,"Dell 24 Video Conferencing Monitor C2423H LED monitor - 24"" - 1920 x 1080 Full HD (1080p) @ 60 Hz - IPS - 250 cd/m² - 1000:1 - 5 ms - HDMI, DisplayPort - speakers - with 3 years Advanced Exchange Service",
659063,659063,Ingram Micro Inc.,Ingram Micro Inc. [CA],POQ6834,Purchase Order #POQ6834,PURCHORD11950,656424,SOQ7189,Sales Order #SOQ7189,SALESORD10645,2023-04-11,P582-006-V2,12,25.83,P582-006-V2,,,Tripp Lite 6ft DisplayPort to HDMI Adapter Converter Cable DP w/ Latches to HDMI DPort 1.2 4K x 2K M/M 6' Adapter cable - DisplayPort male to HDMI male - 1.83 m - black - 4K support,
658814,658814,Ingram Micro Inc.,Ingram Micro Inc. [CA],POQ6826,Purchase Order #POQ6826,PURCHORD11939,656299,SOQ7185,Sales Order #SOQ7185,SALESORD10640,2023-04-11,63B2MAT6US,5,210.28,63B2MAT6US,,,"Lenovo ThinkVision T23i-30 LED monitor - 23"" - 1920 x 1080 Full HD (1080p) @ 60 Hz - IPS - 250 cd/m² - 1000:1 - 4 ms - HDMI, VGA, DisplayPort - raven black",
658477,658477,Ingram Micro Inc.,Ingram Micro Inc. [CA],POQ6811,Purchase Order #POQ6811,PURCHORD11922,656174,SOQ7184,Sales Order #SOQ7184,SALESORD10638,2023-04-11,1000432,6,30.11,1000432,,,PC 8 USB Stereo USB Headset ,
656290,656290,Ingram Micro Inc.,Ingram Micro Inc. [CA],POQ6799,Purchase Order #POQ6799,PURCHORD11901,655855,SOQ7182,Sales Order #SOQ7182,SALESORD10635,2023-04-11,VS8-RBSTD25-C,2,3700.00,VS8-RBSTD25-C,,,VMware vSphere Remote Office Branch Office Standard (v. 8) - license - 25 VMs,
