Internal ID,PO Id,Vendor,PO #,SO Id,SO #,Item,Qty,Rate,Item Name,Item Disp name,Purch Price,Description
227122,227122,"TD Synnex Capital, LLC",217532,226824,139058,P11050-001{I1},1,3607.20,P11050-001{I1},P11050-001{I1},3607.20,HPE ProLiant ML350 Gen10 Tower Intel Xeon-S 4208 8-Core (2.10GHz 11MB) 16GB (1 x 16GB) PC4-2933Y-R DDR4 RDIMM 4 x Hot Plug 3.5in Dynamic Smart Array E208i-a SAS 500W 3yr Next Business Day Warranty
227122,227122,"TD Synnex Capital, LLC",217532,226824,139058,H40J7E{I1},1,2306.90,H40J7E{I1},H40J7E{I1},2306.90,HPE 5 Year Tech Care Essential ML350 Gen10 Service
227122,227122,"TD Synnex Capital, LLC",217532,226824,139058,E6U64ABE{I1},1,162.49,E6U64ABE{I1},E6U64ABE{I1},213.22,HPE INTEGRATED LIGHTS-OUT ADVANCED - LICENSE + 3 YEARS 24X7 SUPPORT - 1 SERVER
227122,227122,"TD Synnex Capital, LLC",217532,226824,139058,864279-B21{I1},1,68.00,864279-B21{I1},864279-B21{I1},32.59,HPE Trusted Platform Module 2.0 Gen10 Option
227122,227122,"TD Synnex Capital, LLC",217532,226824,139058,865414-B21{I1},2,123.37,865414-B21{I1},865414-B21{I1},163.20,HPE 800W Flex Slot Platinum Hot Plug Low Halogen Power Supply Kit
227122,227122,"TD Synnex Capital, LLC",217532,226824,139058,874572-B21{I1},1,142.33,874572-B21{I1},874572-B21{I1},92.87,HPE ML350 Gen10 Redundant Fan Cage Kit with 4 Fan Modules
227122,227122,"TD Synnex Capital, LLC",217532,226824,139058,874566-B21{I1},1,92.20,874566-B21{I1},874566-B21{I1},92.20,HPE ML350 Gen10 4LFF Hot-Pluggable (HPL) HDD Cage Kit
227122,227122,"TD Synnex Capital, LLC",217532,226824,139058,AF556A{I1},2,5.45,AF556A{I1},AF556A{I1},6.56,HPE C13 - Nema 5-15P US/CA 110V 10Amp 1.83m Power Cord
227122,227122,"TD Synnex Capital, LLC",217532,226824,139058,874574-B21{I1},1,32.85,874574-B21{I1},874574-B21{I1},32.85,HPE ML350 Gen10 LFF SA/HBA Cable Kit
227122,227122,"TD Synnex Capital, LLC",217532,226824,139058,804331-B21{I1},1,1248.73,804331-B21{I1},804331-B21{I1},301.13,HPE Smart Array P408i-a SR Gen10 (8 Internal Lanes/2GB Cache) 12G SAS Modular Controller
227122,227122,"TD Synnex Capital, LLC",217532,226824,139058,834028-B21{I1},4,747.53,834028-B21{I1},834028-B21{I1},747.53,HPE 8TB 6G 7.2K rpm SATA LFF (3.5in) Low Profile MDL 1yr Wty 512e Digitally Signed Firmware HDD
227122,227122,"TD Synnex Capital, LLC",217532,226824,139058,P47808-B21{I1},2,697.28,P47808-B21{I1},P47808-B21{I1},697.28,HPE 960GB SATA 6G Read Intensive LFF (3.5in) Low Profile Carrier Value Multi Vendor SSD
227122,227122,"TD Synnex Capital, LLC",217532,226824,139058,P01367-B21{I1},1,134.84,P01367-B21{I1},P01367-B21{I1},92.57,HPE 96W Smart Storage Lithium-ion Battery with 260mm Cable Kit
227122,227122,"TD Synnex Capital, LLC",217532,226824,139058,P00920-B21{I1},7,198.89,P00920-B21{I1},P00920-B21{I1},,16GB 1Rx4 PC-4-2933Y-R Smart Kit
227122,227122,"TD Synnex Capital, LLC",217532,226824,139058,P10938-B21{I1},1,678.00,P10938-B21{I1},P10938-B21{I1},678.00,HPE ML350 Gen10 Intel Xeon-S 4208 8-Core (2.10GHz 11MB L3 Cache) Processor Kit
217453,217453,"TD Synnex Capital, LLC",217354,217448,138893,FG-60F-BDL-950-36{I1},1,1720.50,FG-60F-BDL-950-36{I1},FG-60F-BDL-950-36{I1},40.45,FORTIGATE-60F 24X7 FORTICARE UTM PROT
214263,214263,"TD Synnex Capital, LLC",217229,214241,138775,FG-60F-BDL-950-36{I1},1,1464.21,FG-60F-BDL-950-36{I1},FG-60F-BDL-950-36{I1},40.45,FORTIGATE-60F 24X7 FORTICARE UTM PROT
